date,yield_10y,yield_30y
2025-01-20,1.6747,1.9225
2025-01-21,1.6496,1.89
2025-01-22,1.6602,1.9
2025-01-23,1.6645,1.9
2025-01-24,1.6565,1.89
2025-01-26,1.6537,1.891
2025-01-27,1.6299,1.8675
2025-02-05,1.6207,1.8375
2025-02-06,1.5958,1.805
2025-02-07,1.6032,1.8025
2025-02-08,1.6057,1.805
2025-02-10,1.6342,1.825
2025-02-11,1.6274,1.8075
2025-02-12,1.6336,1.809
2025-02-13,1.6346,1.799
2025-02-14,1.6546,1.82
2025-02-17,1.6934,1.86
2025-02-18,1.7006,1.86
2025-02-19,1.6626,1.84
2025-02-20,1.685,1.87
2025-02-21,1.72,1.905
2025-02-24,1.7625,1.945
2025-02-25,1.7275,1.915
2025-02-26,1.7251,1.91
2025-02-27,1.7576,1.935
2025-02-28,1.7152,1.905
2025-03-03,1.6955,1.89
2025-03-04,1.7079,1.9
2025-03-05,1.7083,1.8925
2025-03-06,1.7455,1.9325
2025-03-07,1.8002,1.975
2025-03-10,1.8128,1.985
2025-03-11,1.8853,2.035
2025-03-12,1.8334,2.0125
2025-03-13,1.8565,2.04
2025-03-14,1.8317,2.04
2025-03-17,1.8957,2.115
2025-03-18,1.8885,2.1151
2025-03-19,1.8708,2.1051
2025-03-20,1.8309,2.0526
2025-03-21,1.8458,2.0676
2025-03-24,1.8413,2.0501
2025-03-25,1.8183,2.0276
2025-03-26,1.7943,2.0001
2025-03-27,1.8062,2.0101
2025-03-28,1.8126,2.0251
2025-03-31,1.8129,2.0226
2025-04-01,1.8104,2.0201
2025-04-02,1.7887,1.9801
2025-04-03,1.718,1.9052
2025-04-07,1.6318,1.8252
2025-04-08,1.6633,1.8551
2025-04-09,1.6508,1.8552
2025-04-10,1.6444,1.8602
2025-04-11,1.6568,1.8627
2025-04-14,1.6584,1.8602
2025-04-15,1.6583,1.8602
2025-04-16,1.643,1.8652
2025-04-17,1.6522,1.8982
2025-04-18,1.6493,1.9042
2025-04-21,1.6664,1.9227
2025-04-22,1.6509,1.9052
2025-04-23,1.6611,1.9279
2025-04-24,1.664,1.9327
2025-04-25,1.6606,1.9276
2025-04-27,1.6607,1.9252
2025-04-28,1.6483,1.9005
2025-04-29,1.6241,1.8225
2025-04-30,1.6243,1.824
2025-05-06,1.6298,1.827
2025-05-07,1.6418,1.8475
2025-05-08,1.6331,1.8375
2025-05-09,1.6351,1.8425
2025-05-12,1.688,1.905
2025-05-13,1.6704,1.879
2025-05-14,1.6736,1.8775
2025-05-15,1.6798,1.8825
2025-05-16,1.6793,1.878
2025-05-19,1.6893,1.861
2025-05-20,1.7004,1.872
2025-05-21,1.71,1.885
2025-05-22,1.7186,1.887
2025-05-23,1.7208,1.889
2025-05-26,1.7201,1.8875
2025-05-27,1.7261,1.901
2025-05-28,1.6832,1.906
2025-05-29,1.6877,1.916
2025-05-30,1.6712,1.896
2025-06-03,1.6764,1.895
2025-06-04,1.6704,1.891
2025-06-05,1.6741,1.896
2025-06-06,1.6547,1.876
2025-06-09,1.6559,1.87
2025-06-10,1.6569,1.8695
2025-06-11,1.642,1.849
2025-06-12,1.6475,1.8485
2025-06-13,1.644,1.8495
2025-06-16,1.6432,1.851
2025-06-17,1.6364,1.8425
2025-06-18,1.6384,1.8455
2025-06-19,1.6425,1.8431
2025-06-20,1.6396,1.8376
2025-06-23,1.6418,1.8381
2025-06-24,1.648,1.8506
2025-06-25,1.6544,1.8621
2025-06-26,1.6462,1.8491
2025-06-27,1.6462,1.8496
2025-06-30,1.6469,1.8611
2025-07-01,1.6433,1.8516
2025-07-02,1.6396,1.8451
2025-07-03,1.6407,1.8486
2025-07-04,1.6433,1.8516
2025-07-07,1.6406,1.8536
2025-07-08,1.6444,1.8596
2025-07-09,1.6446,1.8566
2025-07-10,1.6616,1.8746
2025-07-11,1.6653,1.8741
2025-07-14,1.6726,1.8821
2025-07-15,1.6557,1.8601
2025-07-16,1.6617,1.8661
2025-07-17,1.663,1.883
2025-07-18,1.6652,1.8885
2025-07-21,1.6774,1.9115
2025-07-22,1.6907,1.9335
2025-07-23,1.7041,1.938
2025-07-24,1.7376,1.979
2025-07-25,1.7324,1.9725
2025-07-28,1.7146,1.9525
2025-07-29,1.7466,1.998
2025-07-30,1.718,1.96
2025-07-31,1.7044,1.945
2025-08-01,1.7059,1.949
2025-08-04,1.7083,1.95
2025-08-05,1.7061,1.9585
2025-08-06,1.6999,1.958
2025-08-07,1.6894,1.951
2025-08-08,1.6891,1.96
2025-08-11,1.7203,1.995
2025-08-12,1.7271,2.017
2025-08-13,1.7262,2.02
2025-08-14,1.7341,2.0275
2025-08-15,1.7465,2.0475
2025-08-18,1.7872,2.1145
2025-08-19,1.7725,2.0975
2025-08-20,1.782,2.105
2025-08-21,1.7667,2.075
2025-08-22,1.7818,2.0775
2025-08-25,1.7643,2.05
2025-08-26,1.7598,2.035
2025-08-27,1.7988,2.07
2025-08-28,1.8478,2.1108
2025-08-29,1.8379,2.1375
2025-09-01,1.8257,2.1165
2025-09-02,1.8167,2.1
2025-09-03,1.7984,2.075
2025-09-04,1.806,2.085
2025-09-05,1.826,2.1125
2025-09-08,1.8514,2.1475
2025-09-09,1.8641,2.171
2025-09-10,1.8992,2.204
2025-09-11,1.8743,2.208
2025-09-12,1.867,2.184
2025-09-15,1.8724,2.1875
2025-09-16,1.8527,2.1675
2025-09-17,1.8349,2.15
2025-09-18,1.8546,2.1701
2025-09-19,1.8789,2.1996
2025-09-22,1.8647,2.189
2025-09-23,1.877,2.215
2025-09-24,1.9022,2.2501
2025-09-25,1.884,2.23
2025-09-26,1.8768,2.217
2025-09-28,1.8781,2.218
2025-09-29,1.887,2.242
2025-09-30,1.8605,2.2461
2025-10-09,1.8466,2.2629
2025-10-10,1.846,2.2829
2025-10-11,1.8206,2.2328
