date,A,B,spread_B
2024-12-09,0.03783066655945968,0.038491643748677806,-0.0006609771892181274
2024-12-10,0.036754941020232794,0.03678358435257253,-2.864333233973393e-05
2024-12-11,0.03622016936104696,0.03609044927105028,0.0001297200899966766
2024-12-12,0.036396689100332634,0.03615140075501689,0.0002452883453157445
2024-12-13,0.03622016936104696,0.03582398109864147,0.0003961882624054919
2024-12-16,0.034779716144293316,0.034545281944180745,0.000234434200112571
2024-12-17,0.0349268799643679,0.03489308658548279,3.379337888510803e-05
2024-12-18,0.035195990424895275,0.03524455205811138,-4.856163321610707e-05
2024-12-19,0.03532812734644841,0.03516281766354237,0.00016530968290603965
2024-12-20,0.034965814506539836,0.034789674952198854,0.0001761395543409816
2024-12-23,0.03453464474456841,0.03472328244274809,-0.00018863769817967918
2024-12-24,0.034880272814886204,0.034789674952198854,9.059786268734993e-05
2024-12-25,0.03518283107754431,0.03482296650717703,0.00035986457036727565
2024-12-26,0.03514078721338412,0.03473654066437572,0.0004042465490084052
2024-12-27,0.03495802065532357,0.034522341333839295,0.000435679321484278
2024-12-30,0.03516968156675138,0.034172222743919616,0.0009974588228317677
2024-12-31,0.03529367639336884,0.034395085066162574,0.0008985913272062662
2025-01-02,0.03422067059422503,0.03354226195962762,0.0006784086345974147
2025-01-03,0.033470868606388274,0.03307881101718026,0.0003920575892080169
2025-01-06,0.03338773772353108,0.0330727983277288,0.00031493939580228003
2025-01-07,0.03381972397929845,0.033455916153351105,0.00036380782594734595
2025-01-08,0.03347324985771201,0.03316624134159679,0.0003070085161152175
2025-01-09,0.03318755731113776,0.032689543657923106,0.0004980136532146545
2025-01-10,0.03309185539457026,0.03260752688172043,0.0004843285128498312
2025-01-13,0.03322036291746099,0.03298884960565678,0.0002315133118042101
2025-01-14,0.033554414491513335,0.03319346894098331,0.00036094555053002575
2025-01-15,0.03344707471386934,0.032866690751445084,0.0005803839624242552
2025-01-16,0.03335696561503013,0.03266900080797199,0.0006879648070581418
2025-01-17,0.03333805711046553,0.03243893742200036,0.0008991196884651706
2025-01-20,0.03313380281690141,0.03175115609458162,0.0013826467223197886
2025-01-21,0.03312913674130404,0.03181500262283616,0.0013141341184678829
2025-01-22,0.03282176491105685,0.031476515872329386,0.0013452490387274654
2025-01-23,0.032533536163739454,0.031585799843763564,0.0009477363199758906
2025-01-24,0.03243038323683485,0.03187073042564372,0.0005596528111911289
2025-01-27,0.03198069603045134,0.03155293505592647,0.0004277609745248698
2025-02-05,0.031766929984471004,0.03089396383394176,0.0008729661505292446
2025-02-06,0.031308224647324995,0.031343669250645995,-3.544460332099986e-05
2025-02-07,0.0314211299585949,0.03147379346133887,-5.2663502743972856e-05
2025-02-10,0.031058155653838536,0.03198558495209634,-0.0009274292982578008
2025-02-11,0.030769733830357728,0.031859569252320086,-0.0010898354219623582
2025-02-12,0.030761686825760054,0.03203909138932911,-0.0012774045635690554
2025-02-13,0.031685635396322985,0.03250848668929784,-0.0008228512929748522
2025-02-14,0.03184648707188304,0.03228067062893639,-0.00043418355705335254
2025-02-17,0.031963315217391305,0.0321608484312859,-0.00019753321389459622
2025-02-18,0.03225474737780215,0.03230359520639148,-4.884782858932679e-05
2025-02-19,0.03204604277346411,0.03252882810404934,-0.00048278533058523226
2025-02-20,0.03169844371084013,0.032938088341781316,-0.0012396446309411863
2025-02-21,0.03178839267617053,0.032970916009785266,-0.0011825233336147378
2025-02-24,0.03198069603045133,0.03339144797210497,-0.0014107519416536388
2025-02-25,0.032553795059849164,0.03370380661294804,-0.0011500115530988786
2025-02-26,0.03224590500993763,0.03327846364883402,-0.00103255863889639
2025-02-27,0.032381280110117,0.033238947753014246,-0.0008576676428972488
2025-02-28,0.032585359096890365,0.03305477336724498,-0.000469414270354615
2025-03-03,0.03224590500993763,0.032234918947648156,1.0986062289476684e-05
2025-03-04,0.03195029200054326,0.03239562004807264,-0.000445328047529385
2025-03-05,0.0321160409556314,0.03234091717028084,-0.0002248762146494429
2025-03-06,0.03256280711467922,0.032689543657923106,-0.00012673654324388967
2025-03-07,0.03271905424200278,0.03292318827467656,-0.00020413403267377506
2025-03-10,0.032680419531846916,0.03302777273552369,-0.0003473532036767715
2025-03-11,0.03284926342246736,0.03338532110091743,-0.0005360576784500665
2025-03-12,0.032959719789842384,0.033443617314585054,-0.00048389752474266995
2025-03-13,0.0328745108999441,0.03341597796143251,-0.0005414670614884085
2025-03-14,0.03296202886366821,0.03329368709972553,-0.0003316582360573181
2025-03-17,0.03309418302032777,0.03349286700414174,-0.0003986839838139647
2025-03-18,0.03285843983518402,0.0334313275149288,-0.0005728876797447754
2025-03-19,0.03237459574760889,0.0330968622100955,-0.0007222664624866107
2025-03-20,0.03211384888403522,0.03297988036976618,-0.0008660314857309587
2025-03-21,0.03229238160603981,0.032938088341781316,-0.0006457067357415053
2025-03-24,0.03229238160603981,0.0327189354432656,-0.0004265538372257918
2025-03-25,0.032146761410221374,0.03247367481706229,-0.00032691340684091325
2025-03-26,0.032056959869183076,0.0324939726761318,-0.00043701280694872363
2025-03-27,0.031766929984471004,0.032323680937999644,-0.0005567509535286397
2025-03-28,0.031362485001999736,0.032010907811400424,-0.000648422809400688
2025-03-31,0.031222731239092496,0.032075804319083294,-0.000853073079990798
2025-04-01,0.031246588800349306,0.03215232373210815,-0.000905734931758842
2025-04-02,0.030922545101004645,0.032166534075841954,-0.0012439889748373095
2025-04-03,0.030241402989805082,0.03125214702851254,-0.0010107440387074583
2025-04-07,0.02982392165034382,0.030393385116512153,-0.0005694634661683323
2025-04-08,0.02996284084366986,0.03063905026521849,-0.0006762094215486299
2025-04-09,0.030300624536890017,0.030988674103721366,-0.0006880495668313488
2025-04-10,0.030369741658267467,0.030883476194517524,-0.0005137345362500566
2025-04-11,0.030327912274196112,0.030949141010375915,-0.0006212287361798026
